"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-21",,,"0.0","0.0","0.0",,"20.0","7.8",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-22",,,"0.8","0.0","0.0",,"25.0","12.2",,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-23",,,"16.5","0.0","0.0",,"19.4","12.8",,,,,,"    1","    1","    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-24",,,"0.0","0.0","0.0",,"19.4","11.1",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-25",,,"0.0","0.0","0.0",,"21.7","12.8",,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-26",,,"0.0","0.0","0.0",,"25.6","14.4",,,,,,"    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-27",,,"0.0","0.0","0.0",,"26.1","15.6",,,,,,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-28",,,"0.0","0.0","0.0",,"24.4","17.8",,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-29",,,"0.8","0.0","0.0",,"27.2","19.4",,,,,,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-30",,,"0.5","0.0","0.0",,"27.2","19.4",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-31",,,"0.0","0.0","0.0",,"21.1","13.3",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-01",,,"0.0","0.0","0.0",,"21.1","10.6",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-02",,,"0.0","0.0","0.0",,"22.2","15.0",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-03",,,"11.4","0.0","0.0",,"26.1","15.6",,,,,,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-04",,,"4.1","0.0","0.0",,"28.9","18.9",,,,,,"    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-05",,,"6.6","0.0","0.0",,"26.1","20.6",,,,,,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-06",,,"1.5","0.0","0.0",,"30.0","21.1",,,,,,"    1",,"    1",,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-07",,,"0.0","0.0","0.0",,"24.4","17.2",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-08",,,"0.0","0.0","0.0",,"26.1","15.0",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-06-09",,,"0.0","0.0","0.0",,"30.6","18.3",,,,,,,,,,,
